Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S17_TC001-TC002,Chrome 118.0.0.0,,,2023-10-30 21:40:32,2023-10-30 21:47:44,7m - 11.947s,PASSED
,,,,,,,
Test Cases/Scenario 17/S17_TC001- Customer Request Add New Part,Chrome 118.0.0.0,,,2023-10-30 21:40:34,2023-10-30 21:42:37,2m - 3.035s,PASSED
Start listener action : beforeTestCase,Chrome 118.0.0.0,,,2023-10-30 21:40:37,2023-10-30 21:40:37,0.009s,PASSED
"callTestCase(findTestCase(""0-Common/Login to Brivge""), [""url"":BRIVGE_URL, ""username"":BAF_USERNAME_FATIN, ""password"":BAF_PWD, ""verificationCode"":VERIFICATION_CODE, ""company"":S17_BAF_CUS], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:40:38,2023-10-30 21:41:27,49.572s,PASSED
"click(findTestObject(""Scenario 13/S13_TC034/Page_Brivge/button_Master""))",Chrome 118.0.0.0,,,2023-10-30 21:41:27,2023-10-30 21:41:37,10.107s,PASSED
"click(findTestObject(""Scenario 13/S13_TC034/Page_Brivge/li_Request Add New Part""))",Chrome 118.0.0.0,,,2023-10-30 21:41:37,2023-10-30 21:41:41,3.685s,PASSED
"click(findTestObject(""Scenario 13/S13_TC034/Page_Brivge/input__requestTo""))",Chrome 118.0.0.0,,,2023-10-30 21:41:41,2023-10-30 21:41:45,4.106s,PASSED
"click(findTestObject(""Scenario 13/S13_TC034/Page_Brivge/li_Request To"", [""company"":company]))",Chrome 118.0.0.0,,,2023-10-30 21:41:45,2023-10-30 21:41:46,0.681s,PASSED
"setText(findTestObject(""Scenario 13/S13_TC034/Page_Brivge/input__description""), description)",Chrome 118.0.0.0,,,2023-10-30 21:41:46,2023-10-30 21:41:47,1.264s,PASSED
"click(findTestObject(""Scenario 10/S10_TC005/button_Download""))",Chrome 118.0.0.0,,,2023-10-30 21:41:47,2023-10-30 21:41:48,0.524s,PASSED
"click(findTestObject(""Scenario 10/S10_TC005/li_Download""))",Chrome 118.0.0.0,,,2023-10-30 21:41:48,2023-10-30 21:41:48,0.621s,PASSED
"verifyElementPresent(findTestObject(""Scenario 10/S10_TC005/p_The operation was successful""), 0)",Chrome 118.0.0.0,,,2023-10-30 21:41:48,2023-10-30 21:41:51,3.153s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-30 21:41:51,2023-10-30 21:41:53,2.037s,PASSED
"downloadedExcel = ManageFiles.getLatestFileFromDirectory(""excel"")",Chrome 118.0.0.0,,,2023-10-30 21:41:53,2023-10-30 21:41:54,0.119s,PASSED
